Year,PCE(Y),GDP(X)
1960.00 ,1597.40 ,2501.80 
1961.00 ,1630.30 ,2560.00 
1962.00 ,1711.10 ,2715.20 
1963.00 ,1781.60 ,2834.00 
1964.00 ,1888.40 ,2998.60 
1965.00 ,2007.70 ,3191.10 
1966.00 ,2121.80 ,3399.10 
1967.00 ,2185.00 ,3484.60 
1968.00 ,2310.50 ,3652.70 
1969.00 ,2396.40 ,3765.40 
1970.00 ,2451.90 ,3771.90 
1971.00 ,2545.50 ,3898.60 
1972.00 ,2701.30 ,4105.00 
1973.00 ,2833.80 ,4341.50 
1974.00 ,2812.30 ,4319.60 
1975.00 ,2876.90 ,4311.20 
1976.00 ,3035.50 ,4540.90 
1977.00 ,3164.10 ,4750.50 
1978.00 ,3303.10 ,5015.00 
1979.00 ,3383.40 ,5173.40 
1980.00 ,3374.10 ,5161.70 
1981.00 ,3422.20 ,5291.70 
1982.00 ,3470.30 ,5189.30 
1983.00 ,3668.60 ,5423.80 
1984.00 ,3863.30 ,5813.60 
1985.00 ,4064.00 ,6053.70 
1986.00 ,4228.90 ,6263.60 
1987.00 ,4369.80 ,6475.10 
1988.00 ,4546.90 ,6742.70 
1989.00 ,4675.00 ,6981.40 
1990.00 ,4770.30 ,7112.50 
1991.00 ,4778.40 ,7100.50 
1992.00 ,4934.80 ,7336.60 
1993.00 ,5099.80 ,7532.70 
1994.00 ,5290.70 ,7835.50 
1995.00 ,5433.50 ,8031.70 
1996.00 ,5619.40 ,8328.90 
1997.00 ,5831.80 ,8703.50 
1998.00 ,6125.80 ,9066.90 
1999.00 ,6438.60 ,9470.30 
2000.00 ,6739.40 ,9817.00 
2001.00 ,6910.40 ,9890.70 
2002.00 ,7099.30 ,10048.80 
2003.00 ,7295.30 ,10301.00 
2004.00 ,7577.10 ,10703.50 
2005.00 ,7841.20 ,11048.60 
